iso_code,continent,country,date,total_cases,total_deaths,population,death_rate_per_million,cases_per_million,dr_permill
UKR,Europe,Ukraine,12/8/2021,"3692939","94979","43466822","2185.091885","84959.94945",
URY,South America,Uruguay,12/8/2021,"401640","6138","3485152","1761.185739","115243.1802",
USA,North America,United States,12/8/2021,"49543526","793230","332915074","2382.679734","148817.3107",
UZB,Asia,Uzbekistan,12/8/2021,"194904","1425","33935765","41.991097","5743.321242",
VAT,Europe,Vatican,12/8/2021,"27",,"812","0","33251.23153",
VCT,North America,Saint Vincent and the Grenadines,12/8/2021,"5645","76","111269","683.0294152","50732.90854",
VEN,South America,Venezuela,12/8/2021,"435825","5208","28704947","181.4321413","15182.923",
VNM,Asia,Vietnam,12/8/2021,"1352122","26930","98168829","274.3233293","13773.43515",
VUT,Oceania,Vanuatu,12/8/2021,"6","1","314464","3.180014246","19.08008548",
WSM,Oceania,Samoa,12/8/2021,"3",,"200144","0","14.98920777",
YEM,Asia,Yemen,12/8/2021,"10047","1956","30490639","64.15083659","329.5109689",
ZAF,Africa,South Africa,12/8/2021,"3071064","90038","60041996","1499.583725","51148.59939",
ZMB,Africa,Zambia,12/8/2021,"210436","3668","18920657","193.8621899","11122.02393",
ZWE,Africa,Zimbabwe,12/8/2021,"150628","4720","15092171","312.7449325","9980.538917",
